demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,183,45,0,201.8,10,0,0,-1,212,3,183|184|165
1,101,95,0,884,10,0,0,-1,894,3,127|130|196
2,70,13,0,454.667,10,0,0,-1,448,3,70|158|38
3,182,129,0,914.4,10,0,0,-1,1091,3,43|169|32
4,188,124,0,1138.67,10,0,0,-1,1078,3,51|78|61
5,148,9,0,522.2,10,0,0,-1,534,3,152|3|134
6,102,73,0,815,10,0,0,-1,827,3,128|129|14
7,196,66,0,569.467,10,0,0,-1,492,3,37|35|30
8,147,37,0,306.267,10,0,0,-1,234,3,147|166|183
9,38,46,0,286.267,10,0,0,-1,194,3,38|196|165
10,1,73,0,677.4,10,0,0,-1,691,3,8|6|4
11,18,170,0,525.133,10,0,0,-1,328,3,18|35|196
12,48,129,0,591.067,10,0,0,-1,613,3,155|195|30
13,192,92,0,585.733,10,0,0,-1,664,3,8|7|100
14,110,73,0,725,10,0,0,-1,779,3,127|64|154
15,122,1,0,1033.33,10,0,0,-1,1077,3,61|30|152
16,75,47,0,330.467,10,0,0,-1,223,3,75|77|162
17,107,74,0,560,10,0,0,-1,649,3,129|64|68
18,15,141,0,730.6,10,0,0,-1,746,3,68|148|134
19,106,183,0,605,10,0,0,-1,583,3,107|129|14
20,107,71,0,638,10,0,0,-1,712,3,68|19|37
21,55,5,0,571.333,10,0,0,-1,585,3,25|95|97
22,84,119,0,736.6,10,0,0,-1,558,3,148|152|8
23,17,27,0,679.467,10,0,0,-1,775,3,10|12|30
24,93,194,0,626.8,10,0,0,-1,494,3,93|172|138
25,23,155,0,403.467,10,0,0,-1,567,3,21|29|78
26,78,42,0,594.2,10,0,0,-1,673,3,78|183|75
27,189,110,0,1086.67,10,0,0,-1,1352,3,167|165|38
28,177,27,0,440.267,10,0,0,-1,401,3,147|166|78
29,29,142,0,620.667,10,0,0,-1,683,3,72|183|3
30,193,73,0,651.4,10,0,0,-1,643,3,98|131|168
31,89,49,0,328.467,10,0,0,-1,397,3,19|30|181
