demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,79,109,0,591.467,10,0,0,-1,319,3,20|124|123
1,8,44,0,423.8,10,0,0,-1,412,3,9|14|94
2,55,45,0,1078.33,10,0,0,-1,515,3,55|54|144
3,24,41,0,800.333,10,0,0,-1,425,3,24|20|17
4,11,71,0,818.533,10,0,0,-1,528,3,94|17|141
5,84,24,0,537.067,10,0,0,-1,321,3,84|83|141
6,65,97,0,627.467,10,0,0,-1,256,3,40|66|41
7,27,30,0,873.533,10,0,0,-1,556,3,27|20|3
8,37,58,0,699.467,10,0,0,-1,558,3,37|75|125
9,125,136,0,600.667,10,0,0,-1,551,3,125|20|139
10,5,72,0,799.533,10,0,0,-1,478,3,5|95|17
11,57,2,0,888.067,10,0,0,-1,553,3,25|81|79
12,42,66,0,999.133,10,0,0,-1,470,3,42|131|107
13,5,42,0,978.533,10,0,0,-1,723,3,4|93|17
14,76,71,0,608.533,10,0,0,-1,426,3,77|116|130
15,32,142,0,511.2,10,0,0,-1,342,3,129|85|139
16,52,115,0,816.733,10,0,0,-1,508,3,58|117|70
17,4,83,0,795.8,10,0,0,-1,426,3,16|96|125
18,134,44,0,696.933,10,0,0,-1,390,3,124|131|128
19,93,64,0,815.267,10,0,0,-1,417,3,11|98|128
20,146,93,0,823.2,10,0,0,-1,539,3,145|140|132
21,18,144,0,911.533,10,0,0,-1,458,3,101|67|113
22,3,55,0,760.867,10,0,0,-1,473,3,125|119|120
23,30,22,0,736.467,10,0,0,-1,682,3,49|2|3
24,84,25,0,572.067,10,0,0,-1,342,3,84|68|61
25,10,0,0,560.933,10,0,0,-1,335,3,16|95|11
26,129,116,0,398.467,10,0,0,-1,227,3,129|33|130
27,52,46,0,1059.53,10,0,0,-1,778,3,52|20|125
28,134,102,0,771.8,10,0,0,-1,386,3,124|123|116
29,71,117,0,470.333,10,0,0,-1,434,3,71|25|24
30,83,54,0,480.467,10,0,0,-1,459,3,130|141|142
31,76,112,0,684.667,10,0,0,-1,650,3,122|125|141
32,84,78,0,520.067,10,0,0,-1,271,3,83|130|62
33,18,90,0,963.533,10,0,0,-1,601,3,105|110|120
34,128,87,0,626.667,10,0,0,-1,546,3,125|130|29
35,107,58,0,692.533,10,0,0,-1,604,3,110|115|29
36,87,92,0,717.2,10,0,0,-1,440,3,51|140|125
37,109,48,0,655.867,10,0,0,-1,351,3,109|120|125
38,127,88,0,645.533,10,0,0,-1,630,3,49|3|20
39,49,145,0,682.533,10,0,0,-1,645,3,2|125|144
40,82,126,0,802.333,10,0,0,-1,462,3,79|134|141
41,142,7,0,838.533,10,0,0,-1,633,3,142|140|131
42,38,146,0,760.533,10,0,0,-1,586,3,38|70|124
43,71,96,0,743.467,10,0,0,-1,498,3,71|129|17
44,80,65,0,899.333,10,0,0,-1,599,3,124|70|107
45,7,40,0,612.8,10,0,0,-1,618,3,9|14|101
46,86,14,0,666.467,10,0,0,-1,382,3,86|62|131
47,118,84,0,425,10,0,0,-1,131,3,70|77|115
48,114,147,0,661.533,10,0,0,-1,641,3,124|134|87
49,75,84,0,433.4,10,0,0,-1,295,3,36|39|118
50,88,17,0,592.467,10,0,0,-1,364,3,24|79|125
51,103,29,0,636.467,10,0,0,-1,498,3,103|99|20
52,81,104,0,858.333,10,0,0,-1,435,3,20|131|99
53,31,56,0,560.467,10,0,0,-1,472,3,124|133|148
54,61,58,0,532.467,10,0,0,-1,377,3,61|129|29
55,84,44,0,716.2,10,0,0,-1,323,3,83|125|103
56,144,64,0,791.533,10,0,0,-1,473,3,134|141|124
57,4,69,0,770.8,10,0,0,-1,444,3,4|95|15
58,142,99,0,713.533,10,0,0,-1,510,3,29|140|144
59,17,129,0,488.533,10,0,0,-1,359,3,17|15|131
60,146,64,0,1115.2,10,0,0,-1,676,3,145|51|2
61,129,11,0,789.467,10,0,0,-1,428,3,129|141|125
62,81,96,0,610.533,10,0,0,-1,451,3,81|20|17
63,21,100,0,783.533,10,0,0,-1,588,3,144|20|124
64,37,58,0,699.467,10,0,0,-1,558,3,77|70|124
65,48,145,0,766.533,10,0,0,-1,655,3,41|77|124
66,127,55,0,886.867,10,0,0,-1,795,3,2|3|134
67,15,29,0,495.4,10,0,0,-1,310,3,125|124|141
68,25,7,0,848.067,10,0,0,-1,594,3,27|141|17
69,79,46,0,901.467,10,0,0,-1,581,3,79|133|95
70,103,56,0,852.467,10,0,0,-1,648,3,18|41|124
71,84,37,0,429.067,10,0,0,-1,249,3,84|83|130
72,80,1,0,454.533,10,0,0,-1,377,3,20|141|124
73,80,106,0,615.533,10,0,0,-1,440,3,86|73|94
74,4,138,0,1093.27,10,0,0,-1,699,3,41|128|148
75,79,105,0,922.267,10,0,0,-1,446,3,81|24|17
76,95,129,0,790.533,10,0,0,-1,522,3,95|93|125
77,13,91,0,1262.4,10,0,0,-1,652,3,136|140|17
78,144,63,0,892.333,10,0,0,-1,541,3,134|141|77
79,4,137,0,1107.27,10,0,0,-1,701,3,11|98|44
80,110,56,0,771.533,10,0,0,-1,656,3,121|131|141
81,52,38,0,656.267,10,0,0,-1,540,3,58|117|144
82,10,22,0,1045.8,10,0,0,-1,711,3,10|11|125
83,74,6,0,1159.07,10,0,0,-1,686,3,140|141|17
84,33,142,0,659.8,10,0,0,-1,384,3,61|131|144
85,50,15,0,495.533,10,0,0,-1,391,3,50|25|81
86,56,70,0,676.8,10,0,0,-1,539,3,19|142|124
87,58,118,0,655.867,10,0,0,-1,416,3,117|144|120
88,47,62,0,708.067,10,0,0,-1,409,3,41|106|125
89,7,44,0,432.8,10,0,0,-1,461,3,7|14|106
90,143,114,0,739.6,10,0,0,-1,553,3,143|58|144
91,129,144,0,332.467,10,0,0,-1,212,3,129|78|82
92,85,109,0,574.467,10,0,0,-1,360,3,81|20|125
93,143,132,0,682.533,10,0,0,-1,571,3,53|58|51
94,140,91,0,696.467,10,0,0,-1,412,3,20|133|124
95,109,22,0,761.533,10,0,0,-1,592,3,92|94|17
96,115,62,0,318,10,0,0,-1,169,3,115|114|130
97,2,54,0,548.467,10,0,0,-1,501,3,15|124|139
98,23,4,0,922.533,10,0,0,-1,672,3,29|141|123
99,56,116,0,758.4,10,0,0,-1,544,3,142|144|130
100,60,101,0,711.2,10,0,0,-1,308,3,114|115|67
101,5,113,0,771.533,10,0,0,-1,465,3,16|11|125
102,13,118,0,1033.8,10,0,0,-1,513,3,146|117|124
103,78,123,0,427.333,10,0,0,-1,193,3,78|129|33
104,83,137,0,519.467,10,0,0,-1,383,3,130|124|140
105,61,18,0,767.8,10,0,0,-1,315,3,119|118|132
106,41,142,0,994.533,10,0,0,-1,566,3,99|132|144
107,107,26,0,658.533,10,0,0,-1,530,3,116|120|133
108,2,55,0,794.867,10,0,0,-1,563,3,3|125|29
109,62,98,0,631.333,10,0,0,-1,344,3,120|70|77
110,57,108,0,949.4,10,0,0,-1,674,3,81|124|116
