demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,109,10,0,540.2,10,0,0,-1,430,3,109|32|19
1,85,60,0,827.867,10,0,0,-1,721,3,91|3|9
2,2,42,0,348.467,10,0,0,-1,339,3,2|84|71
3,12,104,0,276.933,10,0,0,-1,280,3,12|19|47
4,19,61,0,334.133,10,0,0,-1,379,3,7|18|34
5,56,15,0,658.733,10,0,0,-1,511,3,12|7|9
6,106,70,0,536.6,10,0,0,-1,493,3,21|46|47
7,72,85,0,458.733,10,0,0,-1,570,3,56|57|92
8,91,56,0,386.467,10,0,0,-1,287,3,91|101|2
9,26,62,0,405.467,10,0,0,-1,418,3,12|38|71
10,45,69,0,144.8,10,0,0,-1,245,3,45|33|32
11,89,98,0,453.933,10,0,0,-1,385,3,89|50|57
12,79,23,0,588.2,10,0,0,-1,382,3,42|43|20
13,52,69,0,349.267,10,0,0,-1,320,3,12|19|33
14,49,47,0,301.8,10,0,0,-1,251,3,49|38|52
15,84,10,0,568.067,10,0,0,-1,459,3,101|3|2
16,98,105,0,578.067,10,0,0,-1,565,3,70|52|47
17,21,48,0,445.2,10,0,0,-1,373,3,46|47|18
18,97,65,0,590.533,10,0,0,-1,421,3,55|38|12
19,55,68,0,287.467,10,0,0,-1,367,3,55|54|49
20,22,40,0,574.133,10,0,0,-1,549,3,72|11|21
21,30,10,0,616.067,10,0,0,-1,538,3,30|84|16
22,51,66,0,539.8,10,0,0,-1,424,3,16|24|33
23,87,98,0,536.467,10,0,0,-1,645,3,94|95|54
24,39,58,0,558.467,10,0,0,-1,594,3,39|0|102
25,84,83,0,598.067,10,0,0,-1,466,3,63|49|38
26,56,81,0,428.4,10,0,0,-1,382,3,56|27|19
27,33,46,0,324.733,10,0,0,-1,276,3,32|74|45
28,102,57,0,482.533,10,0,0,-1,534,3,34|46|47
29,7,58,0,339.467,10,0,0,-1,362,3,7|18|47
30,34,9,0,326.733,10,0,0,-1,385,3,46|47|7
31,2,64,0,470.2,10,0,0,-1,328,3,55|54|52
32,103,42,0,580.733,10,0,0,-1,640,3,103|34|47
33,96,14,0,719.733,10,0,0,-1,607,3,56|12|53
34,98,61,0,626.333,10,0,0,-1,686,3,40|32|45
35,20,71,0,449.4,10,0,0,-1,557,3,16|57|92
36,16,90,0,372.733,10,0,0,-1,435,3,56|57|92
37,75,98,0,698.4,10,0,0,-1,713,3,75|67|81
38,107,63,0,645,10,0,0,-1,539,3,11|21|27
39,10,38,0,421.6,10,0,0,-1,521,3,10|20|57
40,33,58,0,467.133,10,0,0,-1,445,3,6|19|11
41,96,25,0,403.133,10,0,0,-1,319,3,57|92|38
42,90,52,0,382.333,10,0,0,-1,352,3,90|85|70
43,0,108,0,759.2,10,0,0,-1,727,3,0|103|18
44,54,78,0,330.267,10,0,0,-1,332,3,38|70|63
45,42,96,0,534,10,0,0,-1,412,3,43|81|40
46,87,109,0,733.067,10,0,0,-1,691,3,87|55|40
47,11,30,0,515.867,10,0,0,-1,570,3,72|16|2
48,96,53,0,629.733,10,0,0,-1,486,3,16|11|46
49,13,57,0,391.4,10,0,0,-1,406,3,61|10|20
50,80,31,0,553.533,10,0,0,-1,375,3,32|45|72
51,95,70,0,384.933,10,0,0,-1,430,3,95|50|57
52,59,80,0,680,10,0,0,-1,639,3,59|39|65
53,107,4,0,643.733,10,0,0,-1,495,3,11|46|47
54,59,54,0,820.667,10,0,0,-1,579,3,59|1|48
55,56,71,0,279.4,10,0,0,-1,339,3,57|55|54
56,83,26,0,321.467,10,0,0,-1,418,3,83|31|20
57,16,79,0,519.133,10,0,0,-1,364,3,57|54|70
58,66,60,0,516.8,10,0,0,-1,469,3,109|43|1
59,90,6,0,485.4,10,0,0,-1,400,3,90|84|63
60,4,60,0,620.333,10,0,0,-1,497,3,4|45|39
61,104,42,0,498.733,10,0,0,-1,492,3,104|46|7
62,22,45,0,396.333,10,0,0,-1,414,3,22|20|73
63,18,90,0,544.533,10,0,0,-1,420,3,27|12|49
64,47,62,0,414.8,10,0,0,-1,493,3,18|7|81
65,58,73,0,189.267,10,0,0,-1,223,3,58|37|10
66,55,1,0,468.067,10,0,0,-1,458,3,55|54|5
67,78,54,0,367.933,10,0,0,-1,573,3,80|71|63
68,1,105,0,528.333,10,0,0,-1,524,3,65|45|64
69,78,82,0,544.2,10,0,0,-1,437,3,78|32|61
70,13,9,0,364.733,10,0,0,-1,406,3,34|102|36
71,90,25,0,435.333,10,0,0,-1,355,3,90|85|70
72,2,52,0,310.2,10,0,0,-1,251,3,2|55|54
73,15,70,0,916.333,10,0,0,-1,721,3,44|53|35
74,77,38,0,260.733,10,0,0,-1,347,3,77|56|55
75,38,109,0,286.667,10,0,0,-1,461,3,38|48|70
76,42,86,0,637.867,10,0,0,-1,414,3,42|71|57
77,70,17,0,573.933,10,0,0,-1,505,3,70|101|31
78,80,52,0,420.2,10,0,0,-1,338,3,80|43|32
79,67,41,0,293.8,10,0,0,-1,299,3,45|33|81
80,52,104,0,336.933,10,0,0,-1,292,3,52|19|46
81,70,51,0,525.867,10,0,0,-1,291,3,70|38|27
82,102,108,0,686.2,10,0,0,-1,620,3,102|27|87
83,95,1,0,669.733,10,0,0,-1,556,3,95|51|67
84,2,32,0,448.867,10,0,0,-1,280,3,2|84|80
85,45,106,0,312.067,10,0,0,-1,341,3,64|7|73
86,10,43,0,526.133,10,0,0,-1,474,3,20|16|33
87,55,13,0,454.8,10,0,0,-1,436,3,92|57|11
88,60,66,0,638.933,10,0,0,-1,523,3,44|39|45
89,14,79,0,808.4,10,0,0,-1,551,3,53|36|33
90,37,79,0,630.133,10,0,0,-1,583,3,37|20|27
91,64,63,0,318.8,10,0,0,-1,376,3,64|45|43
92,104,25,0,422.2,10,0,0,-1,355,3,104|46|12
93,42,72,0,469.533,10,0,0,-1,237,3,42|43|12
