demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,432,383,0,1510.47,10,0,0,-1,1769,3,549|440|237
1,177,662,0,1309.4,10,0,0,-1,1179,3,240|411|230
2,479,571,0,1101.87,10,0,0,-1,937,3,472|564|153
3,717,132,0,1741.13,10,0,0,-1,1878,3,309|509|240
4,482,721,0,1294.27,10,0,0,-1,1248,3,667|279|455
5,456,670,0,654.467,10,0,0,-1,658,3,456|692|143
6,202,219,0,1620.07,10,0,0,-1,1366,3,162|51|610
7,542,450,0,1156.93,10,0,0,-1,1267,3,542|432|345
8,504,315,0,1100.53,10,0,0,-1,992,3,503|161|200
9,59,349,0,1628.27,10,0,0,-1,1477,3,671|262|703
10,12,272,0,2419.87,10,0,0,-1,2727,3,447|4|751
11,501,77,0,989.467,10,0,0,-1,729,3,501|18|628
12,206,321,0,829.667,10,0,0,-1,672,3,201|408|316
13,258,518,0,1662.13,10,0,0,-1,1574,3,18|487|82
14,419,475,0,2278.07,10,0,0,-1,2537,3,321|309|319
15,579,701,0,1382.27,10,0,0,-1,1144,3,671|354|451
16,503,391,0,758.4,10,0,0,-1,581,3,165|51|224
17,484,749,0,2087.4,10,0,0,-1,1797,3,695|638|24
18,371,230,0,1244.4,10,0,0,-1,1159,3,736|653|487
19,422,684,0,2752.07,10,0,0,-1,3127,3,420|600|468
20,405,719,0,1471.53,10,0,0,-1,1158,3,375|393|244
21,482,241,0,1766,10,0,0,-1,1650,3,478|472|506
22,424,660,0,1908.33,10,0,0,-1,1816,3,309|505|411
23,228,33,0,1202.07,10,0,0,-1,1042,3,40|48|505
24,181,420,0,1738.47,10,0,0,-1,1497,3,495|525|624
25,677,587,0,1084.13,10,0,0,-1,1200,3,69|49|52
26,149,585,0,1936.07,10,0,0,-1,1813,3,309|509|635
27,546,68,0,1109.4,10,0,0,-1,1285,3,316|507|512
28,325,474,0,1803.8,10,0,0,-1,1858,3,537|689|64
29,175,217,0,1639.6,10,0,0,-1,1476,3,408|490|629
30,592,617,0,1992.53,10,0,0,-1,1699,3,592|595|742
31,668,419,0,2437.4,10,0,0,-1,2479,3,594|52|168
32,561,592,0,623.133,10,0,0,-1,560,3,561|461|467
33,1,304,0,1279.53,10,0,0,-1,1317,3,120|530|307
34,507,435,0,1501.07,10,0,0,-1,1382,3,507|408|18
35,355,662,0,1138.4,10,0,0,-1,1030,3,451|112|230
36,668,652,0,1494.07,10,0,0,-1,1600,3,559|670|401
37,632,204,0,658.4,10,0,0,-1,713,3,632|656|739
38,479,51,0,580.733,10,0,0,-1,553,3,484|278|594
39,50,53,0,197.333,10,0,0,-1,308,3,50|628|24
40,493,192,0,1032.53,10,0,0,-1,1068,3,98|707|367
41,189,470,0,1131.2,10,0,0,-1,1091,3,389|671|358
42,676,103,0,1490.53,10,0,0,-1,1152,3,676|715|734
43,52,741,0,854,10,0,0,-1,821,3,487|18|411
44,619,654,0,1038.13,10,0,0,-1,1101,3,102|427|316
45,57,212,0,2564.13,10,0,0,-1,2836,3,717|309|442
46,98,391,0,701.4,10,0,0,-1,704,3,98|487|24
47,682,57,0,2601.27,10,0,0,-1,2364,3,358|495|6
48,641,309,0,1450.2,10,0,0,-1,1615,3,549|2|741
