demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,93,61,0,447.2,10,0,0,-1,302,3,93|13|60
1,39,55,0,380.2,10,0,0,-1,282,3,39|13|10
2,22,47,0,471.2,10,0,0,-1,361,3,22|13|46
3,114,56,0,496.2,10,0,0,-1,331,3,114|43|10
4,45,61,0,378.2,10,0,0,-1,303,3,45|13|10
5,114,50,0,454.2,10,0,0,-1,252,3,43|13|60
6,44,58,0,466.2,10,0,0,-1,269,3,44|43|13
7,90,63,0,451.2,10,0,0,-1,328,3,90|43|10
8,26,48,0,495.2,10,0,0,-1,363,3,26|43|10
9,68,47,0,422.2,10,0,0,-1,340,3,43|13|59
10,44,49,0,496.2,10,0,0,-1,216,3,44|43|10
11,45,48,0,388.2,10,0,0,-1,311,3,45|13|10
12,117,64,0,487.2,10,0,0,-1,347,3,43|13|10
13,42,56,0,375.2,10,0,0,-1,360,3,42|13|59
14,38,55,0,477.2,10,0,0,-1,281,3,38|43|13
15,42,61,0,388.2,10,0,0,-1,365,3,42|13|10
16,92,48,0,492.2,10,0,0,-1,297,3,92|43|60
17,116,58,0,483.2,10,0,0,-1,275,3,43|13|10
18,44,55,0,458.2,10,0,0,-1,286,3,43|13|59
19,116,56,0,457.2,10,0,0,-1,284,3,116|43|13
20,94,62,0,453.2,10,0,0,-1,270,3,94|43|13
21,117,48,0,454.2,10,0,0,-1,342,3,117|13|59
22,24,58,0,517.2,10,0,0,-1,327,3,43|13|46
23,23,55,0,432.2,10,0,0,-1,374,3,23|43|59
24,13,55,0,363.2,10,0,0,-1,276,3,13|10|59
25,94,58,0,442.2,10,0,0,-1,298,3,43|13|10
26,13,58,0,371.2,10,0,0,-1,259,3,13|10|59
27,96,49,0,509.2,10,0,0,-1,267,3,96|43|10
28,20,56,0,471.2,10,0,0,-1,370,3,43|13|10
29,91,58,0,512.2,10,0,0,-1,353,3,91|43|10
30,22,61,0,520.2,10,0,0,-1,354,3,22|43|10
31,38,48,0,482.2,10,0,0,-1,286,3,43|13|46
32,43,64,0,468.2,10,0,0,-1,289,3,43|13|59
33,37,61,0,491.2,10,0,0,-1,282,3,37|43|59
34,100,55,0,441.2,10,0,0,-1,375,3,100|43|59
35,113,49,0,538.2,10,0,0,-1,222,3,113|43|59
36,113,56,0,482.2,10,0,0,-1,284,3,43|13|46
37,39,55,0,380.2,10,0,0,-1,282,3,39|13|59
38,44,55,0,458.2,10,0,0,-1,286,3,44|43|10
39,43,64,0,468.2,10,0,0,-1,289,3,43|13|59
40,21,62,0,484.2,10,0,0,-1,266,3,21|43|10
41,39,64,0,418.2,10,0,0,-1,292,3,13|10|59
42,44,61,0,453.2,10,0,0,-1,283,3,44|43|60
43,23,56,0,414.2,10,0,0,-1,366,3,23|43|13
44,116,63,0,480.2,10,0,0,-1,287,3,43|13|10
45,45,56,0,365.2,10,0,0,-1,298,3,45|10|60
46,12,58,0,437.2,10,0,0,-1,289,3,12|13|10
47,39,56,0,362.2,10,0,0,-1,274,3,39|13|10
48,95,62,0,528.2,10,0,0,-1,287,3,95|43|10
49,42,48,0,398.2,10,0,0,-1,373,3,13|10|46
50,94,57,0,435.2,10,0,0,-1,298,3,94|43|13
51,113,62,0,519.2,10,0,0,-1,247,3,113|43|13
52,39,56,0,362.2,10,0,0,-1,274,3,39|13|46
53,22,49,0,563.2,10,0,0,-1,287,3,43|13|60
54,65,55,0,476.2,10,0,0,-1,338,3,65|13|59
55,13,64,0,401.2,10,0,0,-1,286,3,13|10|60
56,38,61,0,472.2,10,0,0,-1,278,3,38|43|13
57,68,61,0,471.2,10,0,0,-1,333,3,68|13|60
58,22,47,0,471.2,10,0,0,-1,361,3,43|13|10
59,68,58,0,484.2,10,0,0,-1,319,3,68|43|59
60,116,56,0,457.2,10,0,0,-1,284,3,116|43|13
61,39,63,0,385.2,10,0,0,-1,277,3,39|10|46
62,38,47,0,423.2,10,0,0,-1,285,3,38|43|59
63,39,56,0,362.2,10,0,0,-1,274,3,39|13|59
64,18,55,0,405.2,10,0,0,-1,360,3,18|13|59
65,113,62,0,519.2,10,0,0,-1,247,3,113|43|46
66,95,48,0,514.2,10,0,0,-1,337,3,95|43|59
67,114,48,0,519.2,10,0,0,-1,344,3,43|13|10
68,114,64,0,552.2,10,0,0,-1,349,3,114|43|60
69,22,58,0,533.2,10,0,0,-1,340,3,22|13|60
70,96,50,0,411.2,10,0,0,-1,250,3,43|13|10
71,118,64,0,520.2,10,0,0,-1,372,3,118|43|59
72,25,50,0,433.2,10,0,0,-1,240,3,25|43|10
73,97,62,0,463.2,10,0,0,-1,309,3,43|13|10
74,94,62,0,453.2,10,0,0,-1,270,3,43|13|10
75,22,64,0,563.2,10,0,0,-1,367,3,22|43|10
76,93,62,0,471.2,10,0,0,-1,260,3,93|13|60
77,89,49,0,490.2,10,0,0,-1,259,3,89|13|10
78,98,55,0,491.2,10,0,0,-1,291,3,98|13|10
79,118,50,0,422.2,10,0,0,-1,275,3,118|43|10
80,118,48,0,487.2,10,0,0,-1,367,3,118|13|59
81,114,50,0,454.2,10,0,0,-1,252,3,114|43|13
82,39,49,0,418.2,10,0,0,-1,212,3,39|13|46
83,96,63,0,476.2,10,0,0,-1,332,3,96|43|10
84,99,57,0,460.2,10,0,0,-1,357,3,99|43|10
85,93,55,0,452.2,10,0,0,-1,305,3,93|43|59
86,97,63,0,449.2,10,0,0,-1,349,3,97|43|59
87,20,49,0,527.2,10,0,0,-1,308,3,43|13|46
