demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,68,137,0,630.267,10,0,0,-1,784,3,60|95|46
1,126,141,0,317.733,10,0,0,-1,341,3,126|128|40
2,115,8,0,953.267,10,0,0,-1,1058,3,131|58|7
3,51,123,0,466.133,10,0,0,-1,663,3,59|56|69
4,87,59,0,420.733,10,0,0,-1,504,3,95|71|69
5,84,19,0,529.467,10,0,0,-1,589,3,20|81|79
6,99,10,0,677.4,10,0,0,-1,863,3,76|57|11
7,35,28,0,661.733,10,0,0,-1,511,3,69|56|58
8,73,74,0,671.733,10,0,0,-1,606,3,72|71|52
9,26,2,0,550.067,10,0,0,-1,654,3,81|69|9
10,53,122,0,372.133,10,0,0,-1,562,3,58|56|95
11,51,62,0,355.467,10,0,0,-1,405,3,51|58|57
12,1,29,0,591.933,10,0,0,-1,469,3,126|94|87
13,77,4,0,728.667,10,0,0,-1,806,3,76|62|60
14,32,3,0,824.4,10,0,0,-1,950,3,132|79|69
15,22,13,0,698.4,10,0,0,-1,844,3,29|24|79
16,60,117,0,760.867,10,0,0,-1,528,3,88|87|24
17,113,42,0,983.2,10,0,0,-1,1263,3,131|132|58
18,6,55,0,758.733,10,0,0,-1,656,3,19|71|60
19,51,24,0,350.733,10,0,0,-1,351,3,51|58|56
20,143,36,0,446.933,10,0,0,-1,436,3,143|129|55
21,142,37,0,816.4,10,0,0,-1,759,3,41|46|23
22,121,143,0,1033.13,10,0,0,-1,849,3,95|69|59
23,90,74,0,693.667,10,0,0,-1,697,3,91|101|23
24,37,92,0,791.6,10,0,0,-1,741,3,20|81|56
25,53,113,0,440.533,10,0,0,-1,192,3,52|132|131
26,11,74,0,681.733,10,0,0,-1,685,3,11|31|34
27,134,102,0,535.067,10,0,0,-1,549,3,136|133|24
28,118,61,0,503.4,10,0,0,-1,500,3,70|20|79
29,126,49,0,281.4,10,0,0,-1,409,3,126|128|124
30,54,74,0,221.467,10,0,0,-1,198,2,54|118
31,116,47,0,835.067,10,0,0,-1,1111,3,130|131|120
32,6,1,0,400.733,10,0,0,-1,349,3,6|7|119
33,83,54,0,878.4,10,0,0,-1,741,3,46|126|76
34,115,0,0,978.6,10,0,0,-1,1163,3,136|51|18
35,5,140,0,673.933,10,0,0,-1,499,3,3|48|41
36,119,77,0,457.2,10,0,0,-1,397,3,119|120|100
37,104,130,0,646.933,10,0,0,-1,667,3,76|24|38
38,51,122,0,381.133,10,0,0,-1,594,3,51|56|79
