demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,67,83,0,1621.53,10,0,0,-1,1857,3,14|49|27
1,76,46,0,418.333,10,0,0,-1,638,3,43|25|26
2,26,29,0,1063.87,10,0,0,-1,1110,3,75|2|0
3,77,73,0,460.067,10,0,0,-1,658,3,44|43|22
4,76,46,0,418.333,10,0,0,-1,638,3,44|25|27
5,4,86,0,1133.73,10,0,0,-1,922,3,7|0|35
6,4,86,0,1133.73,10,0,0,-1,922,3,8|9|37
7,77,73,0,460.067,10,0,0,-1,658,3,44|43|25
8,14,86,0,1576,10,0,0,-1,1985,3,54|50|26
9,26,29,0,1063.87,10,0,0,-1,1110,3,36|2|11
10,26,29,0,1063.87,10,0,0,-1,1110,3,22|25|42
11,64,81,0,1570.8,10,0,0,-1,1660,3,64|57|25
