demandID,SourceID,DestinationID,MinDelay,MaxDelay,Bandwidth,Ishotstandby,DelayDifference,DisjointType,WorkOptCost,OrderNum,Order
0,1144,1099,0,231.6,10,0,0,-1,136,3,1144|89|649
1,1969,1663,0,231.4,10,0,0,-1,193,3,699|1528|1019
2,342,48,0,242.4,10,0,0,-1,154,3,342|1659|559
3,477,912,0,219.2,10,0,0,-1,198,3,477|261|456
4,1582,191,0,197.867,10,0,0,-1,121,3,1582|1733|1018
5,553,1472,0,130.4,10,0,0,-1,223,3,553|598|430
6,1488,1392,0,257.467,10,0,0,-1,126,3,28|82|1508
7,349,1315,0,203.333,10,0,0,-1,157,3,349|221|192
8,1959,847,0,180,10,0,0,-1,103,3,1959|70|182
9,1013,481,0,177.867,10,0,0,-1,160,2,1013|661
